id;descripcion;precio
1;Iced Tea Concentrate;0,07
2;Milkettes - 2%;1,71
3;Pasta - Canelloni, Single Serve;7,11
4;Crab Brie In Phyllo;5,9
5;Plastic Wrap;7,51
6;Wine - Magnotta - Pinot Gris Sr;1,26
7;Hog / Sausage Casing - Pork;0,85
8;Wine - Duboeuf Beaujolais;9,48
9;Aspic - Amber;2,7
10;Wine - White, Antinore Orvieto;8,73
11;Kellogs Cereal In A Cup;0,06
12;Wine - Sauvignon Blanc;5,08
13;Pastry - Cherry Danish - Mini;1,81
14;True - Vue Containers;7,33
15;Soup Campbells - Tomato Bisque;5,51
16;Tortillas - Flour, 12;7,66
17;Wine - Red, Pelee Island Merlot;3,74
18;Goat - Whole Cut;4,92
19;Olive - Spread Tapenade;9,22
20;Pork - Sausage Casing;9,78
21;Wine - Jackson Triggs Okonagan;4,04
22;Vacuum Bags 12x16;1,06
23;Dried Figs;4,88
24;Vodka - Smirnoff;2,96
25;Chip - Potato Dill Pickle;1,31
26;Meldea Green Tea Liquor;9,44
27;Wine - Riesling Dr. Pauly;8,37
28;Pork - Back, Short Cut, Boneless;7,67
29;Muskox - French Rack;8,92
30;Squash - Sunburst;2,66
31;Honey - Liquid;5,16
32;Wine - Rosso Del Veronese Igt;7,01
33;Hinge W Undercut;9,97
34;Water - Tonic;4,23
35;Table Cloth 91x91 Colour;3,23
36;Sprouts - Corn;7,64
37;Muffin Batt - Choc Chk;0,48
38;Swiss Chard - Red;4,77
39;Soup - French Onion;9,61
40;Bread Crumbs - Japanese Style;5,54
41;Irish Cream - Butterscotch;0,84
42;Wine - Carmenere Casillero Del;9,31
43;Container Clear 8 Oz;4,93
44;Pork - Back, Long Cut, Boneless;4,42
45;Appetiser - Bought;8,54
46;Cup - Translucent 7 Oz Clear;4,05
47;Bread Foccacia Whole;9,93
48;Plums - Red;7,89
49;Flower - Commercial Spider;7,7
50;Yeast - Fresh, Fleischman;3,85
51;Sauce - Balsamic Viniagrette;1,09
52;Beer - Blue;5,79
53;Foam Cup 6 Oz;9,66
54;Veal - Nuckle;4,09
55;Sage Ground Wiberg;4,18
56;Pastry - Raisin Muffin - Mini;3,2
57;Crab Meat Claw Pasteurise;2,89
58;Lobak;3,21
59;Melon - Watermelon, Seedless;8,21
60;Oregano - Dry, Rubbed;3,4
61;Ecolab Crystal Fusion;9,94
62;Salmon Atl.whole 8 - 10 Lb;7,2
63;Pork - Bacon Cooked Slcd;3,4
64;Plums - Red;2,34
65;Paper Cocktail Umberlla 80 - 180;2,5
66;Olive - Spread Tapenade;7,21
67;Cookie Choc;5,84
68;Wine - White, Ej;5,35
69;Beans - Yellow;7,67
70;Jam - Strawberry, 20 Ml Jar;2,52
71;Shopper Bag - S - 4;2,67
72;Lemon Pepper;5,71
73;Wine - Riesling Dr. Pauly;2,95
74;Vermouth - Sweet, Cinzano;3,23
75;Pasta - Lasagne, Fresh;8,68
76;Veal - Brisket, Provimi,bnls;8,13
77;French Pastry - Mini Chocolate;4,78
78;Nantucket Cranberry Juice;8,13
79;Lamb - Leg, Bone In;0,32
80;Flour - Bran, Red;0,47
81;Vector Energy Bar;5,85
82;Ecolab - Hand Soap Form Antibac;6,56
83;Eggplant Italian;5,77
84;Soda Water - Club Soda, 355 Ml;1,26
85;Longos - Chicken Cordon Bleu;6,31
86;Juice - Grape, White;6,02
87;Anisette - Mcguiness;1,81
88;Bar Mix - Lemon;8,92
89;Cheese - Victor Et Berthold;0,52
90;Cheese - Stilton;5,59
91;Pickle - Dill;6,25
92;Muffin - Mix - Creme Brule 15l;1,62
93;Tea - Mint;1,36
94;Muffin Hinge 117n;0,79
95;Beef Ground Medium;8,3
96;Basil - Primerba, Paste;0,42
97;Bread - Sticks, Thin, Plain;0,2
98;Thyme - Lemon, Fresh;4,6
99;Oats Large Flake;1,23
100;Flour - Whole Wheat;3,42
101;Wine - Barbera Alba Doc 2001;7,77
102;Beans - Turtle, Black, Dry;5,84
103;Bread - Sticks, Thin, Plain;3,26
104;Duck - Fat;1,3
105;Coffee - Cafe Moreno;2,2
106;Island Oasis - Lemonade;6,99
107;Wine - Saint - Bris 2002, Sauv;0,79
108;Carrots - Mini, Stem On;6,62
109;Creamers - 10%;3,6
110;Chip - Potato Dill Pickle;0,28
111;Sugar - Individual Portions;6,63
112;Bag - Regular Kraft 20 Lb;0,97
113;Bar Mix - Lemon;8,35
114;Sauce - White, Mix;2,21
115;Sauce - Plum;2,68
116;White Baguette;9,84
117;Pepper - Julienne, Frozen;8,98
118;Salt And Pepper Mix - White;5,82
119;Figs;1,6
120;Wine - Pinot Noir Stoneleigh;4,9
121;Carbonated Water - Blackcherry;5,34
122;Cake Circle, Foil, Scallop;0,36
123;Flour - Bran, Red;5,64
124;Cheese - Mozzarella, Shredded;3,39
125;Chinese Foods - Thick Noodles;3,04
126;Ice Cream - Vanilla;5,29
127;Soup - Beef Conomme, Dry;0,79
128;Pate - Liver;4,67
129;Ice Cream - Fudge Bars;5,14
130;Brandy - Bar;6,82
131;Banana - Leaves;6,68
132;Cheese - Cheddarsliced;7,49
133;Vegetable - Base;4,55
134;Beef - Top Sirloin - Aaa;8,78
135;Wine - Chardonnay South;7,67
136;Miso Paste White;9,98
137;Steam Pan - Half Size Deep;3
138;Turkey - Whole, Fresh;2,1
139;Hummus - Spread;1,29
140;Wine - Rosso Del Veronese Igt;4,52
141;Wine - Segura Viudas Aria Brut;4
142;Bread - Roll, Whole Wheat;8,15
143;Potatoes - Mini Red;7,66
144;Whmis - Spray Bottle Trigger;3,14
145;Cheese - Cheddar, Medium;4,4
146;Dill - Primerba, Paste;0,03
147;Beans - Turtle, Black, Dry;3,32
148;Salsify, Organic;4,94
149;Ecolab - Hobart Washarm End Cap;1
150;Mousse - Passion Fruit;8,7
151;Bread - Multigrain, Loaf;0,98
152;Pasta - Penne, Rigate, Dry;5,42
153;Cup Translucent 9 Oz;3,46
154;Oil - Cooking Spray;6,53
155;Broom And Broom Rack White;0,26
156;Browning Caramel Glace;1,14
157;Spinach - Frozen;7,27
158;Coconut - Shredded, Sweet;6,51
159;Assorted Desserts;4,4
160;Fruit Salad Deluxe;8,88
161;Tart - Raisin And Pecan;4,54
162;Tomatoes - Orange;1,23
163;Juice - Apple Cider;2,26
164;Sprite, Diet - 355ml;2,2
165;Dill Weed - Dry;0,4
166;Eggplant Oriental;4,44
167;Beef Wellington;1,44
168;Yogurt - Banana, 175 Gr;8,56
169;Salsify, Organic;2,11
170;Muskox - French Rack;5,4
171;Vinegar - Raspberry;6,63
